student_id,name,subject,score,date,attendance
51,Jessica Holmes,History,42,2025-04-27,Present
52,Danny Morgan,Geography,84,2025-05-09,Absent
53,Crystal Robinson,Math,42,2025-05-28,Present
54,Mark Perez,Geography,43,2025-04-25,Present
55,Shannon Jones,History,98,2025-01-07,Absent
56,Michael Lewis,Arabic,53,2024-12-11,Absent
57,Timothy Duncan,History,39,2025-05-25,Absent
58,Richard Aguirre,Science,36,2025-07-09,Present
59,Brent Jordan,History,51,2024-11-17,Absent
60,John Daniel,Physics,57,2025-06-06,Absent
61,Victoria Garcia,English,78,2024-10-31,Present
62,Gerald Hensley,Computer,88,2025-04-18,Absent
63,Connor West,Chemistry,92,2025-05-05,Present
64,Donald Wright,Computer,57,2025-01-06,Present
65,Jessica Callahan,Chemistry,37,2025-07-24,Absent
66,Amber Kidd,Math,91,2024-10-30,Present
67,Tracy House,Chemistry,40,2024-10-30,Present
68,Carol Tucker,Science,60,2024-11-05,Absent
69,James Brown,History,35,2024-12-01,Present
70,William Baker,Chemistry,70,2025-05-03,Absent
71,Jordan Henderson,Geography,60,2025-01-13,Absent
72,Whitney Peters,English,68,2025-04-21,Absent
73,Brittney Phillips,Science,31,2025-03-11,Absent
74,Lauren Daniels,Science,39,2025-08-15,Present
75,Amy Silva,Computer,46,2025-06-17,Absent
76,Sarah Moore,History,77,2024-11-05,Absent
77,Angela Lopez,Physics,99,2024-12-20,Absent
78,Megan Young,Chemistry,31,2025-08-10,Absent
79,Steve Sanchez,English,63,2024-11-23,Present
80,Lisa Barnes,Chemistry,49,2024-11-24,Absent
81,Kelly Donovan,History,73,2025-02-22,Present
82,Mike Allen,Computer,94,2025-08-21,Absent
83,Michael Evans,Math,41,2025-02-06,Absent
84,Paul Jones,Math,30,2025-02-19,Absent
85,Zachary Ferrell,Computer,50,2024-12-06,Absent
86,Daniel Baker,Arabic,31,2025-07-10,Present
87,Shirley Suarez,English,99,2024-11-08,Present
88,Christopher Bass,Chemistry,48,2025-04-08,Absent
89,Lisa Archer,Math,69,2024-12-05,Absent
90,Aimee Montoya,Geography,56,2024-10-21,Present
91,Matthew Mcmillan,Geography,82,2024-11-22,Present
92,Brian Rodriguez,English,52,2025-01-30,Absent
93,Denise Jacobs,English,72,2024-10-13,Absent
94,Christina Walters,Computer,50,2025-02-05,Present
95,John Whitehead,Math,90,2025-04-14,Present
96,Anna Henderson,Physics,74,2025-01-11,Absent
97,Aaron Wise,History,33,2025-01-25,Present
98,Deborah Figueroa,Geography,65,2025-04-23,Present
99,Jessica Smith,Geography,95,2025-02-20,Absent
100,Stephen Mckee,Geography,33,2025-07-02,Present
101,Sandra Aguilar,English,63,2025-02-11,Present
102,Cameron Parker,Arabic,74,2024-11-25,Absent
103,Rebecca Valencia,Chemistry,44,2025-05-12,Absent
104,Christine Wright,History,62,2025-07-23,Present
105,Richard Henson,Math,96,2025-05-12,Present
106,Marc Moore,Arabic,38,2025-04-05,Absent
107,Sharon Cherry,Geography,45,2025-08-16,Absent
108,Sierra Johnson,Computer,82,2025-06-17,Absent
109,Evelyn Galvan,Computer,100,2025-04-25,Present
110,Sharon Cochran,Arabic,78,2025-01-07,Present
111,Richard Rodriguez,Computer,81,2025-08-12,Present
112,Shannon Walker,Computer,56,2025-03-05,Absent
113,Julia Torres,Geography,89,2025-07-24,Absent
114,Crystal Johnson,History,95,2025-05-15,Absent
115,Garrett Lin,Science,66,2024-12-26,Absent
116,Diana May,History,69,2024-11-17,Present
117,William Herrera,English,33,2025-01-10,Present
118,Ashley Waller,Physics,39,2025-02-03,Absent
119,Victor Baker,History,79,2025-05-01,Absent
120,Jeffrey Chandler,History,48,2025-04-23,Present
121,Larry Dixon,Arabic,58,2024-11-24,Present
122,Kenneth Scott,Physics,36,2025-06-23,Present
123,April Frost,Physics,47,2024-12-02,Absent
124,Michelle Harmon,Chemistry,70,2025-06-29,Absent
125,Helen Jones,Chemistry,84,2025-08-10,Absent
126,Erin Edwards,Physics,87,2024-12-21,Absent
127,Michelle Evans,Computer,96,2025-02-04,Absent
128,Jason Powell,History,65,2025-08-17,Absent
129,Cameron Fisher,Computer,60,2024-11-09,Absent
130,Megan Orr,Geography,99,2025-03-21,Present
131,Elizabeth Kelley,English,59,2024-12-10,Absent
132,Dustin Jordan,History,38,2024-12-18,Absent
133,Mary Marshall,Geography,99,2025-04-27,Absent
134,Daniel Kennedy,Math,56,2025-05-01,Absent
135,Rebecca Jackson,Math,78,2025-04-18,Absent
136,Jose Schultz,Geography,68,2024-10-04,Absent
137,Robert Potter,Chemistry,99,2025-05-03,Present
138,Courtney Gonzalez,History,64,2025-06-07,Absent
139,David Alvarez,Math,79,2025-06-06,Absent
140,Angel Perry,English,89,2025-04-26,Present
141,Cheyenne Horton,Chemistry,33,2025-08-15,Absent
142,David Douglas Jr.,Math,40,2025-07-31,Absent
143,Patricia Rodriguez,Physics,53,2024-12-09,Present
144,Christopher Rubio,Arabic,71,2025-02-11,Present
145,Amber Wright,Geography,73,2025-05-21,Absent
146,Joyce Solis,Arabic,62,2025-02-20,Present
147,Victoria Larson,Math,99,2025-05-29,Present
148,Stephanie Salazar,History,38,2025-03-29,Present
149,Kathy Rivas,History,55,2024-10-16,Present
150,Stephanie Manning,English,60,2025-08-15,Present
151,David Wright,Science,57,2025-05-31,Absent
152,Pamela Boyd,Geography,51,2025-02-09,Present
153,Denise Jones,Computer,43,2024-12-23,Present
154,Devon Flores,Arabic,80,2025-03-09,Present
155,Brenda Hall,History,43,2024-11-08,Absent
156,Michelle Brown,Science,35,2025-08-04,Absent
157,Joshua Perry,Arabic,77,2025-06-30,Present
158,Jason Stein,Geography,31,2025-06-17,Absent
159,Melissa Gates,Science,85,2025-06-08,Absent
160,Jamie Smith,Physics,49,2025-08-22,Absent
161,Paul Castaneda,Chemistry,64,2024-12-30,Absent
162,Jennifer Adkins,Arabic,64,2025-05-27,Absent
163,Lindsey Walker,Science,65,2025-02-03,Absent
164,Jeffrey Johnson,Physics,78,2025-02-02,Absent
165,Michael Powell,Physics,71,2024-10-15,Present
166,John Anderson,History,75,2025-06-07,Absent
167,Alyssa Long,Computer,65,2025-03-24,Present
168,Alyssa Day,History,40,2025-06-22,Present
169,Joel Williams,Physics,60,2025-04-27,Absent
170,Daniel Murphy,Physics,87,2025-08-27,Present
171,Jamie Walton,Computer,58,2024-11-17,Absent
172,Darlene Miller,Computer,77,2025-02-02,Absent
173,Joshua Cooke,Chemistry,74,2025-07-11,Absent
174,Matthew Harrington,Geography,75,2025-07-09,Absent
175,Nicole Herring,Computer,62,2025-02-16,Present
176,Alex Hernandez,History,70,2024-12-01,Present
177,Michael Elliott,English,54,2025-07-02,Present
178,Michael Wang,Computer,97,2025-06-05,Absent
179,Lawrence Adkins,History,67,2024-11-21,Present
180,Robert Oconnell,English,68,2025-04-03,Present
181,Alexander Collins,English,65,2025-07-01,Present
182,Tina Sanders,Chemistry,67,2024-10-28,Present
183,Angela Vaughn,Physics,43,2025-08-23,Present
184,Ashley Barton,Computer,90,2025-07-21,Absent
185,Lindsay Martinez,Geography,53,2025-05-14,Present
186,Dr. Hannah Patterson,Physics,44,2025-02-07,Present
187,Jonathan Peterson,Physics,39,2025-04-24,Present
188,Samantha Garcia,English,68,2024-12-17,Present
189,Madison Poole,Science,83,2025-02-05,Present
190,Jessica Gross,Arabic,87,2025-06-25,Absent
191,Debra Morton,Arabic,69,2025-03-02,Present
192,Karen Graham,Science,56,2025-08-09,Present
193,Debra Christian,Science,50,2025-02-13,Present
194,Angelica Keith,Chemistry,39,2024-12-28,Present
195,John Bishop,Arabic,87,2024-10-02,Absent
196,Allen Rosales,Math,59,2025-02-27,Absent
197,Daniel Salinas,Physics,39,2025-02-22,Present
198,Spencer Haynes,History,84,2025-02-13,Present
199,Adam Vaughan,History,49,2025-07-06,Absent
200,Nathan Freeman,Science,37,2024-12-12,Present
201,Melissa Brewer,Computer,86,2025-03-07,Present
202,Ricky Davis II,Computer,81,2025-05-28,Absent
203,Elizabeth Perkins,Chemistry,93,2025-06-14,Absent
204,Joseph Coleman,Math,85,2024-11-11,Absent
205,Erin Warner,Computer,33,2025-08-06,Present
206,David Martinez,Math,64,2025-01-26,Present
207,Bryan Herrera,Physics,96,2024-12-29,Absent
208,Cathy Robinson,English,85,2025-02-20,Absent
209,Dr. William Warren,Physics,74,2024-11-16,Absent
210,Brian Lee,Geography,43,2025-03-20,Present
211,Christopher Smith,Arabic,93,2025-03-18,Absent
212,Denise Mccann,Chemistry,34,2025-04-24,Absent
213,Melissa Martinez,Geography,62,2024-11-15,Absent
214,Katherine Salas,Arabic,95,2024-11-29,Present
215,Julie Alexander,Physics,82,2025-07-05,Present
216,Anthony Everett,Chemistry,76,2025-01-05,Absent
217,Rodney Morales,Physics,36,2025-08-17,Present
218,Mark Brown,Chemistry,46,2025-02-14,Absent
219,Justin Torres,Physics,45,2025-05-13,Present
220,Bailey Duran DDS,History,50,2025-08-19,Absent
221,Courtney Mills,Math,100,2025-07-10,Absent
222,Jeremy Dalton,History,44,2024-11-17,Absent
223,Elizabeth Oliver DDS,English,93,2024-11-30,Absent
224,Theresa Clark,Computer,83,2025-06-18,Absent
225,Matthew Moore,History,88,2025-05-30,Present
226,Benjamin Smith,History,95,2025-04-15,Present
227,Kirk Carter,Computer,83,2024-11-05,Absent
228,Michael Warner,Computer,30,2025-06-17,Absent
229,Michael Bradshaw,Physics,49,2025-03-02,Absent
230,Lori Guerrero,Physics,74,2025-07-03,Absent
231,Jessica Stephens,Chemistry,78,2025-07-10,Absent
232,Susan Serrano,History,60,2025-03-14,Absent
233,Christopher Parker,Arabic,35,2025-01-28,Absent
234,Laura Roberts,Arabic,79,2025-05-31,Present
235,Michael Lyons,Math,46,2025-06-11,Absent
236,Kathryn Snyder,Physics,42,2024-11-21,Absent
237,Andrew Reynolds,English,82,2024-10-08,Present
238,David Davis,Physics,63,2024-11-08,Absent
239,Sara Johnston,Arabic,40,2025-08-16,Absent
240,Yvonne Chambers,Arabic,70,2025-07-01,Absent
241,Andrew Avila,Math,38,2025-07-05,Present
242,Matthew Moon,Computer,59,2025-08-20,Present
243,Kevin Walters,Science,42,2025-05-11,Absent
244,Brandon Bailey MD,Computer,33,2024-12-25,Present
245,Shannon Rivera,Math,67,2025-03-16,Absent
246,Donna Landry,Arabic,48,2025-04-10,Present
247,Krista Gibson,Arabic,53,2025-06-29,Present
248,Frank Cordova,Science,78,2024-12-29,Present
249,Jose Travis,English,59,2025-06-12,Absent
250,Kimberly Gutierrez,Computer,88,2025-08-23,Absent
251,Isaiah Avila,Physics,66,2024-10-05,Present
252,Olivia Harris,Physics,74,2024-11-07,Absent
253,Tanya Kim,Arabic,62,2025-08-24,Absent
254,Barbara Dudley,History,79,2025-03-04,Absent
255,Cynthia Moore,History,78,2024-11-24,Absent
256,Kristen Davis,Computer,67,2025-07-22,Present
257,Susan Murray MD,Computer,31,2025-04-21,Present
258,Kathleen Moran,Physics,66,2025-08-07,Present
259,Denise Davenport,Geography,58,2025-08-07,Present
260,Mrs. Kristen Reyes,Computer,47,2025-08-14,Present
261,Katie Suarez,Math,69,2025-08-18,Absent
262,Desiree Tyler,Geography,46,2024-10-18,Present
263,Timothy Romero,Geography,83,2025-03-01,Present
264,Diane Evans,English,99,2025-01-11,Absent
265,Yvonne Burns,Chemistry,64,2025-06-29,Present
266,Joshua Reed,Physics,67,2025-02-09,Absent
267,Kimberly Gibson,Physics,39,2024-11-28,Present
268,Colin Terry,Arabic,76,2025-01-24,Present
269,Cynthia Rowe,Math,63,2025-04-21,Present
270,Patrick Thornton,Geography,63,2025-05-21,Absent
271,Jasmin Alvarado,Geography,43,2025-08-23,Present
272,Veronica Simpson,Math,71,2025-05-30,Present
273,Jonathan Lawrence,Science,89,2025-08-28,Absent
274,Shelly Alexander,Arabic,44,2025-08-29,Present
275,Joyce Bowen,Math,68,2024-10-24,Absent
276,Matthew Moore,Science,60,2024-11-29,Present
277,Wayne Morgan,Physics,77,2025-04-17,Absent
278,Marie Christian,English,83,2025-07-28,Present
279,Shannon James,Arabic,65,2025-06-08,Present
280,Nathan Malone,History,86,2025-04-08,Absent
281,Amanda Jones,Geography,42,2025-01-29,Absent
282,Tammie Bright,Geography,37,2025-07-06,Absent
283,Jessica Garcia,History,45,2025-02-19,Absent
284,Shelia Wallace,History,32,2024-11-16,Present
285,Stephanie Williams,History,46,2025-03-20,Present
286,Elaine Brooks,Chemistry,56,2024-11-05,Present
287,Joseph Knight,Geography,48,2025-01-28,Present
288,Carolyn Miller,English,46,2025-02-19,Absent
289,Lisa Allen,Science,33,2024-12-29,Present
290,Briana Murray,Geography,60,2024-10-08,Absent
291,David Smith,English,63,2024-10-09,Present
292,Stephanie Byrd,Arabic,97,2024-12-04,Present
293,Jeremy Reed,Physics,87,2024-11-02,Absent
294,Margaret Coleman,Science,87,2025-06-20,Present
295,Ryan Gonzalez,Math,96,2025-08-11,Absent
296,John Young,Math,37,2025-05-23,Absent
297,Laura Haney,Arabic,43,2025-04-24,Absent
298,William Barrett,Science,40,2025-05-16,Absent
299,Keith Jennings,English,38,2025-08-08,Present
300,Amber Obrien,Chemistry,71,2025-02-18,Absent
301,Tanner Mitchell DDS,Chemistry,67,2025-08-02,Absent
302,Heather Fields,Arabic,42,2025-06-16,Present
303,Megan Le,Chemistry,57,2025-08-30,Absent
304,Sara Fuller,History,82,2025-05-20,Absent
305,Maria Parker,Arabic,83,2025-05-21,Present
306,Kevin Oconnor,Arabic,70,2025-03-10,Absent
307,Edward Burgess,English,90,2025-04-10,Present
308,Carlos Ryan,Science,41,2024-11-16,Absent
309,Kiara Mcintyre,Geography,46,2024-11-19,Present
310,Dawn Summers,Chemistry,72,2025-07-28,Present
311,Dr. Paul Morgan,Geography,84,2025-04-29,Present
312,Victor Taylor,Computer,75,2025-02-25,Present
313,Shannon Ramsey,Chemistry,57,2025-07-23,Present
314,Tracy Ballard,History,43,2025-06-04,Absent
315,Richard Smith,Geography,44,2025-07-12,Absent
316,Jordan Chambers,History,84,2025-07-21,Present
317,Lauren Carson,Computer,33,2025-08-08,Present
318,Ashley Hall,Computer,73,2025-02-17,Absent
319,Stephen Hoffman,English,48,2024-10-04,Absent
320,Connie Brown,English,33,2024-11-05,Present
321,Susan Turner,History,78,2025-06-29,Absent
322,Charles Shah,Geography,50,2025-05-21,Absent
323,Johnathan Davis,Geography,40,2025-03-09,Present
324,Brandy Chavez,English,36,2024-12-19,Present
325,Natalie Bautista,Physics,84,2025-02-17,Absent
326,Patrick Moore,Physics,83,2025-08-07,Absent
327,Brett Burns,Chemistry,44,2025-01-19,Absent
328,Trevor Johnson,Science,66,2025-05-09,Absent
329,Jeremy Sampson,Computer,35,2025-06-27,Present
330,Ariana Jennings,Math,30,2025-04-21,Present
331,Vanessa Howard,History,47,2025-03-04,Absent
332,Colton Martinez,Geography,45,2025-02-26,Present
333,Jordan Bates,Arabic,52,2025-06-12,Present
334,Linda Smith,Chemistry,59,2025-04-13,Absent
335,Dana Martinez,Arabic,35,2024-11-06,Absent
336,Andrea Hubbard,Physics,39,2024-10-10,Absent
337,Daniel Kane,Arabic,81,2025-07-22,Absent
338,Charles Lester,Science,81,2025-02-26,Present
339,Scott Thomas,English,88,2025-03-16,Absent
340,David Thompson,Arabic,43,2024-11-15,Present
341,Allison Smith,Arabic,97,2025-05-12,Present
342,Cynthia Morris,Computer,73,2025-04-21,Present
343,Anthony Harmon,English,39,2025-03-20,Present
344,Nichole Alvarez,Chemistry,54,2025-06-29,Absent
345,Kayla Rodriguez,English,60,2025-03-29,Present
346,Theresa Williams,Computer,55,2024-12-14,Present
347,Sharon Boyd,English,39,2025-08-05,Present
348,Victor Brown,Physics,89,2025-08-18,Absent
349,James Parks,Geography,70,2025-07-17,Present
350,Theodore Jones Jr.,Science,90,2025-05-14,Absent
351,Ana Hill,Computer,65,2025-08-20,Present
352,Kimberly Nguyen,Chemistry,39,2025-03-30,Absent
353,Kerry Chavez DDS,Physics,34,2025-05-25,Present
354,Michael Farrell,Computer,39,2025-04-07,Present
355,Patricia Le,Chemistry,79,2025-08-11,Absent
356,Jesse Perez,Chemistry,35,2025-07-25,Absent
357,Jesse Perry,History,71,2025-07-20,Absent
358,Jeffery Ortega,English,37,2025-06-14,Absent
359,Christian Leblanc,Geography,40,2024-11-22,Present
360,Ronald Davis,History,86,2024-10-21,Absent
361,Parker Cain,Chemistry,50,2025-06-26,Absent
362,Laurie Hoffman,Computer,79,2025-04-09,Absent
363,Bryan Gomez,Math,72,2025-03-23,Present
364,Nicole Parrish,Science,79,2025-03-18,Absent
365,Tracy Burke,English,72,2025-02-07,Present
366,Kenneth Lewis,English,74,2025-07-26,Absent
367,Courtney Rodriguez,English,40,2025-04-19,Absent
368,Holly Farmer,Arabic,72,2025-07-14,Present
369,Renee Bruce,Science,84,2025-06-27,Absent
370,Sabrina Austin,Geography,69,2024-10-10,Present
371,Allison Hickman,Geography,92,2025-01-18,Present
372,Debra White,English,49,2025-01-24,Present
373,Ellen Morgan,Science,94,2025-03-01,Present
374,Sergio Knight,English,78,2025-03-22,Present
375,Charles Schultz,English,51,2024-12-23,Absent
376,Paul Lewis,Arabic,76,2024-10-23,Present
377,Glen Wood,Computer,87,2025-05-16,Present
378,Paula Bradley,History,69,2025-07-01,Absent
379,Anthony Moore,Geography,86,2025-01-08,Absent
380,Megan Nelson,Arabic,94,2025-02-22,Absent
381,Karla Ramos,History,47,2024-12-22,Absent
382,Paul Wilson,Physics,77,2024-10-27,Present
383,Douglas Gregory,Science,66,2025-06-22,Present
384,Mr. Andrew Foster,Computer,87,2024-12-22,Present
385,Aimee Turner,Science,58,2025-05-12,Absent
386,Chad Scott,Math,83,2025-03-28,Present
387,Adam Burgess,Chemistry,77,2025-04-21,Present
388,James Padilla,Science,77,2025-04-16,Present
389,Sandra Drake,Geography,42,2024-10-15,Absent
390,Scott Williams,English,34,2024-12-14,Absent
391,Thomas Atkins,English,90,2025-05-30,Absent
392,Laura Mckinney,Math,40,2025-08-12,Present
393,Brian Smith,History,49,2025-02-09,Absent
394,Robert Montgomery,Computer,60,2024-11-26,Absent
395,Tamara Davis,Math,60,2024-12-02,Absent
396,Dana Chapman,Physics,38,2025-08-24,Present
397,Jennifer Collins,Chemistry,32,2025-06-13,Present
398,Gary Jackson,Computer,84,2024-12-13,Present
399,Ashley Hicks,Geography,60,2025-08-11,Absent
400,Hannah Luna,Science,97,2025-01-04,Absent
401,Robin Young,Chemistry,99,2024-11-04,Present
402,Craig Morrison,Physics,35,2025-04-18,Absent
403,Mary Thompson,Computer,32,2025-04-10,Absent
404,Kathleen Webster,Geography,60,2024-11-04,Present
405,Joann Glass,Geography,47,2025-07-25,Present
406,Madison Weber,Chemistry,73,2025-03-30,Present
407,Lori Hernandez,Physics,53,2025-05-26,Present
408,Jeremy Turner,Physics,34,2024-11-02,Absent
409,Anthony Romero,Math,55,2025-01-12,Present
410,Jesse Brown,Computer,95,2025-03-11,Absent
411,Angela Lin,Physics,62,2025-07-06,Present
412,Lisa Hunter,History,66,2025-08-28,Absent
413,Julian Conner,Geography,64,2024-10-25,Present
414,Joanna Pacheco,Arabic,81,2025-04-07,Absent
415,Erica Alvarez,Geography,53,2025-04-16,Absent
416,Antonio Garcia,Geography,96,2025-06-12,Absent
417,Gwendolyn Klein,Arabic,40,2024-11-12,Absent
418,Carrie Wright,English,99,2025-08-05,Absent
419,Jeffrey Mills,Science,40,2025-03-14,Absent
420,Jake Campbell,Computer,87,2025-03-01,Absent
421,George Harper,Physics,74,2024-12-25,Absent
422,Maria Jones,Geography,85,2024-10-22,Absent
423,Michael Mitchell,Math,39,2025-08-24,Absent
424,Mary Escobar,Chemistry,50,2025-04-05,Present
425,Felicia Aguilar,Physics,34,2024-12-13,Present
426,Gregory Ponce,History,76,2024-11-04,Absent
427,Jenna Larson,Math,49,2025-04-15,Absent
428,Emily Bennett,Geography,86,2025-04-08,Present
429,Robin Santiago,English,97,2025-07-21,Absent
430,Nancy Jennings,Geography,65,2025-04-22,Present
431,Maria Henderson,Math,53,2024-11-28,Absent
432,Jack White,Arabic,45,2025-06-23,Absent
433,Travis Tucker,Physics,57,2025-02-11,Absent
434,Chad Jones,History,45,2025-06-09,Present
435,Ashley Wise,Physics,52,2024-11-07,Absent
436,Sophia Johnson,Geography,74,2024-11-14,Present
437,Ralph Anderson,Chemistry,67,2025-07-09,Absent
438,Christopher Guerra,English,76,2024-12-20,Present
439,Rhonda Martin,History,47,2024-12-02,Present
440,Jason Rhodes,Math,76,2025-06-10,Absent
441,Jeremy Mitchell,Chemistry,46,2025-05-28,Present
442,Joann Ferguson,Computer,80,2024-11-03,Absent
443,Robert Harrison,Arabic,82,2025-06-27,Present
444,Holly Valentine,Geography,39,2024-12-04,Absent
445,Mrs. Diane Reyes,Chemistry,74,2025-05-27,Present
446,Tracy Montoya,English,46,2025-07-10,Absent
447,Brenda Wright,Math,45,2025-06-15,Present
448,Shelly Spencer,English,50,2025-03-05,Absent
449,Ryan Rosales,Geography,96,2025-01-24,Absent
450,Phillip Nelson,Computer,55,2024-11-10,Absent
451,Brittany Kim,Computer,98,2024-12-04,Present
452,Courtney Hayes,English,49,2025-06-15,Present
453,Alexander Brown,Geography,35,2025-08-16,Present
454,Cynthia Vang,Math,63,2024-11-11,Present
455,Alfred Galvan,Arabic,33,2025-07-20,Absent
456,Marie Moody,Chemistry,67,2025-08-18,Absent
457,Dustin Gallegos,History,81,2025-06-05,Absent
458,Brenda Thornton,Science,37,2025-05-21,Present
459,Aaron Miller,Arabic,91,2025-05-14,Absent
460,Ruben Dunn,Geography,48,2025-01-13,Absent
461,Kelsey Rodriguez,Geography,81,2025-03-13,Present
462,Eric Williams,Chemistry,43,2025-04-08,Absent
463,Riley Bryant,Physics,45,2025-02-01,Absent
464,Taylor Carlson,History,48,2025-05-19,Present
465,Jose Allen,Computer,79,2024-10-26,Absent
466,Jeffrey Mendez,English,71,2025-02-05,Absent
467,Jason Beck,English,93,2025-01-06,Absent
468,William Jones,Computer,93,2025-06-13,Present
469,Katie Mcneil,Arabic,94,2024-11-16,Absent
470,Jeanette Harrison,History,75,2025-02-01,Present
471,Veronica King,Computer,93,2024-10-26,Absent
472,Richard Cooper,Chemistry,31,2025-02-24,Present
473,Lori Ingram,English,63,2025-05-09,Absent
474,Evelyn Williams,Geography,35,2025-04-25,Absent
475,Robin Thompson,Chemistry,54,2024-10-27,Absent
476,Julie Dominguez,Computer,39,2025-07-11,Absent
477,Robin Brown,Physics,100,2025-06-16,Absent
478,Judith Carter,Science,46,2025-08-16,Present
479,Curtis Williams,Geography,73,2025-04-20,Absent
480,Kaylee Hays,History,95,2024-12-13,Absent
481,Dawn Mullins,Math,35,2025-06-14,Present
482,Howard Norman,Geography,90,2024-12-10,Absent
483,Evelyn Martinez,Chemistry,47,2024-12-16,Absent
484,Steve Paul,Geography,50,2025-08-10,Absent
485,Jasmine Beltran,Computer,73,2025-08-12,Absent
486,Jonathan Glass MD,Computer,90,2025-07-16,Present
487,Monica Miller,Geography,44,2025-04-07,Absent
488,Samantha Gardner,Computer,33,2025-07-26,Absent
489,Bobby Guerrero,History,36,2025-02-13,Absent
490,Lance Simmons,Chemistry,78,2024-12-27,Present
491,Heather Williams,Math,44,2025-02-02,Present
492,Heather Bolton,Physics,70,2024-10-10,Absent
493,William Gould,Arabic,56,2024-12-17,Absent
494,Mark Cox,Physics,37,2025-06-14,Present
495,Meghan Cisneros,History,71,2025-06-23,Absent
496,Lawrence Harrington,Arabic,70,2025-06-27,Present
497,Austin Osborne,Chemistry,73,2025-05-24,Absent
498,James Bradley,Computer,91,2025-08-26,Present
499,Meghan Rush,Computer,68,2025-02-04,Present
500,Phillip Berry,Computer,56,2025-03-02,Absent
501,Jennifer Banks,Physics,74,2025-03-12,Absent
502,Brian Fitzgerald,Science,99,2025-02-25,Absent
503,Mr. Justin Green III,Geography,48,2025-04-21,Absent
504,Zachary Mitchell,Computer,40,2024-10-22,Absent
505,Katherine Martinez,Computer,91,2025-05-15,Present
506,Jodi Roach,Chemistry,64,2025-01-12,Absent
507,Brandon Fleming,Science,60,2024-12-10,Present
508,Emma Reed,Chemistry,58,2024-10-26,Present
509,Joshua Vance,Science,82,2024-10-27,Absent
510,Michelle Ho,Science,47,2025-05-30,Present
511,Rebecca Hicks,English,82,2025-07-09,Absent
512,Curtis Taylor,History,66,2025-06-02,Absent
513,Allison Spencer,Math,41,2025-02-24,Present
514,Robert Arnold,Math,52,2025-07-01,Absent
515,Angelica Parker,Math,80,2024-12-30,Absent
516,Dr. Kelly Hammond DVM,Computer,34,2025-01-04,Present
517,William Day,Science,72,2025-03-02,Absent
518,Michael Cooper,Chemistry,97,2025-05-21,Absent
519,Penny Bowman,Chemistry,89,2024-12-08,Absent
520,Vincent Reynolds,Science,72,2025-01-07,Present
521,Amy Martinez,Computer,53,2025-05-23,Present
522,Christopher Morris,Computer,54,2025-03-22,Present
523,Hannah Everett,Arabic,84,2025-08-09,Absent
524,Sarah King,Arabic,42,2024-11-14,Present
